Info 0    [02:07:44.792] Starting TS Server
Info 1    [02:07:44.792] Version: 4.7.4
Info 2    [02:07:44.792] Arguments: /home/tumon/n/bin/node /home/tumon/.emacs.d/.local/etc/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/tumon/js/real-estate/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/e157f159c2236f6e7984d7927d53dcfe/tscancellation*
Info 3    [02:07:44.792] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [02:07:44.792] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [02:07:44.803] Format host information updated
Info 6    [02:07:44.811] Search path: /home/tumon/js/real-estate/comps
Info 7    [02:07:44.812] For info: /home/tumon/js/real-estate/comps/SearchFilters.jsx :: No config files found.
Info 8    [02:07:44.816] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [02:07:46.633] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1816.2796899999958ms
Info 10   [02:07:46.633] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [02:07:46.633] 	Files (219)

Info 12   [02:07:46.633] -----------------------------------------------
Info 13   [02:07:46.660] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 14   [02:07:47.215] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [02:07:47.295] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 79.69993199990131ms
Info 16   [02:07:47.295] Different program with same set of files
Info 17   [02:07:49.465] Before ensureProjectForOpenFiles:
Info 18   [02:07:49.465] After ensureProjectForOpenFiles:
Info 19   [02:07:49.478] got projects updated in background, updating diagnostics for /home/tumon/js/real-estate/comps/SearchFilters.jsx
Info 20   [02:07:52.295] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [02:07:52.345] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 50.34792499989271ms
Info 22   [02:07:52.345] Different program with same set of files
Info 23   [02:07:52.856] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [02:07:52.893] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 36.70551300002262ms
Info 25   [02:07:52.893] Different program with same set of files
Info 26   [02:07:53.641] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [02:07:53.676] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 35.48688199999742ms
Info 28   [02:07:53.676] Different program with same set of files
